jurisdiction,P,c_P,S,c_S,D3_perception,recognition_score,D3,divergence_flag,n_polls_used,n_articles,pct_polls_verified,confidence,notes
California,MISSING,0,30.0,0.75,30.0,,30.0,FALSE,0,15,N/A,low,"SENTIMENT-ONLY: PPIC poll EXCLUDED from P per strict rule — source UNABLE_TO_VERIFY (figure never confirmed on an openable page). D3_perception = S = 30.0 (n=15, 10 outlets, c_S=0.75). Divergence N/A. Recognition pending."
Texas,37,0.6,23.08,0.65,29.8,,29.8,FALSE,1,13,100%,medium,"P=37 uses ONLY the MATCH-verified 2022 responsiveness proxy (directness 0.6, c_P 0.6); the UNABLE_TO_VERIFY 40% item dropped from P per strict rule. S=23.08(n=13,8 outlets,c_S=0.65); |P-S|=13.9; no divergence. Recognition pending."
Wyoming,39,0.6,50.0,0.5,44.0,,44.0,FALSE,1,10,100%,low,"P=39 (poll) + S=50.0 (n=10, 6 outlets, c_S=0.5); D3_perception=44.0. |P-S|=11.0 -> no divergence. Recognition pending. Confidence forced LOW: corpus outlet-dominated (top-2 >=60% or <=2 outlets). WYSAC survey excluded from sentiment (poll-writeup dedup) so it is not double-counted with P."
Vermont,MISSING,0,15.38,0.65,15.4,,15.4,FALSE,0,13,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3_perception = S = 15.38 (n=13, 4 outlets, c_S=0.65). Divergence N/A. Recognition pending. Confidence forced LOW: corpus outlet-dominated (top-2 >=60% or <=2 outlets)."
"Washington, D.C.",MISSING,0,29.17,0.6,29.2,,29.2,FALSE,0,12,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3_perception = S = 29.17 (n=12, 11 outlets, c_S=0.6). Divergence N/A. Recognition pending."
Alabama,MISSING,0,38.46,0.65,38.5,,38.5,FALSE,0,13,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=38.46 (n=13,9 outlets,c_S 0.65). Recognition pending."
Alaska,MISSING,0,13.64,0.55,13.6,,13.6,FALSE,0,11,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=13.64 (n=11,5 outlets,c_S 0.55). Recognition pending. Confidence forced LOW: outlet-dominated."
Arizona,MISSING,0,22.73,0.55,22.7,,22.7,FALSE,0,11,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=22.73 (n=11,7 outlets,c_S 0.55). Recognition pending."
Arkansas,MISSING,0,61.54,0.65,61.5,,61.5,FALSE,0,13,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=61.54 (n=13,8 outlets,c_S 0.65). Recognition pending."
Colorado,37,0.6,33.33,0.75,35.0,,35.0,FALSE,1,15,100%,medium,"P=37(c_P 0.6) + S=33.33(n=15,9 outlets,c_S 0.75); |P-S|=3.7; no divergence. Recognition pending."
Connecticut,61,1.0,39.29,0.7,52.1,,52.1,TRUE,1,14,100%,high,"P=61(c_P 1.0) + S=39.29(n=14,10 outlets,c_S 0.7); |P-S|=21.7; DIVERGENCE. Recognition pending."
Delaware,MISSING,0,38.46,0.65,38.5,,38.5,FALSE,0,13,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=38.46 (n=13,6 outlets,c_S 0.65). Recognition pending. Confidence forced LOW: outlet-dominated."
Florida,MISSING,0,50.0,0.55,50.0,,50.0,FALSE,0,11,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=50.0 (n=11,10 outlets,c_S 0.55). Recognition pending."
Georgia,MISSING,0,28.57,0.7,28.6,,28.6,FALSE,0,14,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=28.57 (n=14,11 outlets,c_S 0.7). Recognition pending."
Hawaii,MISSING,0,43.33,0.75,43.3,,43.3,FALSE,0,15,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=43.33 (n=15,8 outlets,c_S 0.75). Recognition pending."
Idaho,MISSING,0,31.82,0.55,31.8,,31.8,FALSE,0,11,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=31.82 (n=11,8 outlets,c_S 0.55). Recognition pending."
Illinois,MISSING,0,45.45,0.55,45.5,,45.5,FALSE,0,11,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=45.45 (n=11,8 outlets,c_S 0.55). Recognition pending."
Indiana,MISSING,0,42.86,0.7,42.9,,42.9,FALSE,0,14,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=42.86 (n=14,11 outlets,c_S 0.7). Recognition pending."
Iowa,MISSING,0,27.27,0.55,27.3,,27.3,FALSE,0,11,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=27.27 (n=11,7 outlets,c_S 0.55). Recognition pending."
Kansas,MISSING,0,32.14,0.7,32.1,,32.1,FALSE,0,14,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=32.14 (n=14,10 outlets,c_S 0.7). Recognition pending."
Kentucky,MISSING,0,33.33,0.6,33.3,,33.3,FALSE,0,12,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=33.33 (n=12,8 outlets,c_S 0.6). Recognition pending."
