jurisdiction,stability_value,turnover_definition,stability_url,stability_source_type,stability_confidence,stability_scope_flag,stability_source_year,stability_higher_ed_status,stability_fact_check_result,vacancy_value,vacancy_url,vacancy_source_type,vacancy_confidence,vacancy_scope_flag,vacancy_source_year,vacancy_higher_ed_status,vacancy_fact_check_result,tenure_value,tenure_url,tenure_source_type,tenure_confidence,tenure_scope_flag,tenure_source_year,tenure_higher_ed_status,tenure_fact_check_result,workforce_transparency,stability_score,vacancy_score,tenure_score,transparency_score,dimension2_score,Notes
Alabama,"14.5% (turnover, 2023)",total_separation,https://personnel.alabama.gov/LegalNotices/2023AnnualReport.pdf,official_recovered,high,statewide_all_agencies (classified service; excl part-time/temp/unclassified/exempt/hourly),2023,excluded,VERIFIED - 2023 State Personnel Dept Annual Report turnover chart (2023=14.5%). Native turnover form; in-folder retention 85% (100-x) rejected,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - no official statewide vacancy rate; in-folder 14.2% was a composite of single-agency figures (Corrections 57.1%, Mental Health 34%) + estimated sectors, rejected",11.70 years,https://personnel.alabama.gov/LegalNotices/2023AnnualReport.pdf,official_recovered,high,statewide_all_agencies (classified service),2023,excluded,VERIFIED - report states avg years of service all state employees = 11.70; in-folder tenure 11 (peer estimate) rejected,Publishes turnover + tenure (State Personnel Dept Annual Report); does NOT publish a statewide vacancy rate,46.1,,88.9,66.7,61.3,"In-folder HOPS files are LLM SoSI narratives, not official sources - all in-folder D2 numbers rejected as conversions/composites/estimates. Public higher ed runs separate personnel systems (excluded)"
Alaska,"18% (turnover, CY2022)",unclear,https://reason.org/commentary/alaska-retaining-public-workers-better-than-most-states/,third_party_proxy,low,single_agency_subset (exec-branch agency subset obtained privately by Reason),2022,excluded,"PROXY - official DOA Workforce Profile publishes no turnover/retention, so no tier1/2 promotion. Reason states BOTH 18% and 17.5% -> both recorded, neither picked/averaged (pending ruling 2). In-folder retention 82% (100-x) rejected","~16% (2,905 unfilled; 16.6% end-2024)",https://www.adn.com/politics/2024/12/27/governor-delays-salary-study-as-staffing-shortages-continue-to-hobble-alaska-government/,official_via_secondary,medium,executive_branch,2024,excluded,"PROVISIONAL (pending ruling 1) - administration data relayed via news, not a self-published official HR report; tagged official_recovered+low. In-folder 16% composite rejected",9.06 years,https://doa.alaska.gov/dop/fileadmin/StatewidePlanning/pdf/workforceProfile/dopannualreport.pdf,official_recovered,high,executive_branch_only,2025,excluded,"VERIFIED - DOA FY2025 Workforce Profile (data as of 6/30/2025), statewide avg state service 9.06 yrs, confirmed via pdftotext",Partial - publishes tenure (DOA Workforce Profile); does NOT publish statewide turnover/retention or vacancy,13.2,63.9,22.2,100.0,54.6,"Methodology's own section-6 example. Reason internal inconsistency 18% vs 17.5% (pending ruling 2). Vacancy is government data via journalism (pending ruling 1). University of Alaska is a separate system (higher ed excluded). Row's three metrics span 3 tiers / 3 years / 3 scopes - now captured per-metric | RULING1: vacancy is official data relayed via secondary source -> official_via_secondary, confidence=medium | RULING2: Reason states BOTH 18% and 17.5% for 2022; used the more conservative (higher) 18% per methodology - NOT a rounding choice; 17.5% also reported"
Arizona,"14.6% (turnover, FY2024)",total_separation,https://hr.az.gov/sites/default/files/2025-01/FY24%20Workforce%20Report.pdf,official_recovered,high,statewide_all_agencies (State Personnel System),FY2024,excluded,"VERIFIED - ADOA FY24 SPS Workforce Report exec summary, turnover 14.6% (SPS employees only, as of 6/30/2024). In-folder retention 81.4% (self-labeled 100-turnover, unsourced) rejected",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - ADOA publishes no vacancy rate; in-folder 12.28% was a fabricated composite (education substitution + estimation), rejected",7.8 years,https://hr.az.gov/sites/default/files/2025-01/FY24%20Workforce%20Report.pdf,official_recovered,high,statewide_all_agencies (State Personnel System),FY2024,excluded,"VERIFIED - ADOA FY24 report, avg years of service 7.8 (SPS employees)","Publishes turnover + tenure (ADOA SPS Workforce Report, per A.R.S. 41-751); does NOT publish a vacancy rate",40.8,,0.0,66.7,42.3,"KNOWN-PROBLEM STATE - audit finding CONFIRMED. In-folder vacancy decomposed: education 6% (school-district, population_match FAIL), corrections 17%, healthcare '15% estimated', social services '12% estimated'. Universities (ABOR) outside SPS -> higher ed excluded"
Arkansas,NOT_PUBLISHED,,,not_published,,,,,NOT_PUBLISHED - no OPM/DTSS turnover or retention report after genuine search; in-folder 24% self-labeled 'Estimated from legislative resolutions' rejected,"~18% (approx 12,000 of ~66,000 positions vacant, Dec 5 2024)",https://arkansasadvocate.com/2024/12/23/approximately-18-of-arkansas-state-positions-are-vacant-data-shows/,official_via_secondary,medium,"statewide_all_agencies (executive branch + higher education, bundled)",2024,INCLUDES_HIGHER_ED,"PROVISIONAL (pending ruling 1) - DTSS data relayed via news, not a standalone report; official_recovered+low. In-folder 15.87% composite rejected",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - no official tenure figure; in-folder 10.5 self-labeled estimated, rejected",Partial - DTSS/OPM does NOT publish a turnover or tenure report; point-in-time vacancy released to press (Dec 2024) only,,30.6,,33.3,31.5,"Near Category 3 - only vacancy usable, and it bundles exec branch + higher ed inseparably. Dept breakdowns exist (Corrections ~30%, DHS 20%, ADVA ~59%) but no clean non-higher-ed statewide composite. Reason has no Arkansas figure. Vacancy is government data via journalism (pending ruling 1) | RULING1: vacancy is official data relayed via secondary source -> official_via_secondary, confidence=medium"
California,"7.7% (turnover; 17,310 perm separations of 224,613 civil service, 2023)",total_separation,https://www.calhr.ca.gov/about-calhr/divisions-programs/equity-accessibility-management-services/workforce-analysis-census-employees/annual-census-2023/,official_recovered,high,"statewide_civil_service (exec-branch; excl Legislature, Judicial, higher ed)",2023,excluded,"VERIFIED - CalHR 2023 Annual Census, 7.7% turnover. In-folder retention 92.3 (1-turnover conversion) rejected","~20% (Feb 2024: 47,920 vacant of 243,829); 21% (Dec 2023)",https://lao.ca.gov/Publications/Report/4888,official_recovered,high,"statewide_civil_service (excl higher ed, Legislature, Judicial)",2024,excluded,"VERIFIED - LAO 2024-25 State Employee Compensation report (Report 4888), ~20-21%. In-folder 20.2 composite rejected","11 years (avg years of service, active State members, FY2024-25)",https://www.calpers.ca.gov/documents/facts-retirement-plan-members/download,official_recovered,high,"statewide (CalPERS State members; includes CSU, excludes UC)",2025,INCLUDES_HIGHER_ED,"VERIFIED - CalPERS Facts at a Glance FY2024-25, State avg years of service = 11, via pdftotext. CSU bundled inseparably (see higher_ed_status)","High - publishes all three: turnover (CalHR Annual Census), vacancy (LAO/CalHR), tenure (CalPERS)",100.0,22.2,63.0,100.0,80.0,"Cleanest pilot state. Per-metric higher-ed status differs WITHIN the row: stability & vacancy exclude higher ed (clean civil service), but tenure (CalPERS 'State') bundles CSU inseparably (UC separate via UCRS) -> tenure_higher_ed_status=INCLUDES_HIGHER_ED. This within-row split is exactly what per-metric tagging now captures"
Colorado,14.5%,includes_retirements,https://spl.cde.state.co.us/artemis/paserials/pa215internet/pa2152024internet.pdf,official_recovered,high,statewide_classified_only,FY2023-24,INCLUDES_HIGHER_ED,VERIFIED - official State of Colorado Workforce Report FY2023-24 (DPA/DHR): overall turnover 14.5%. Native form; in-folder retention 85.5% (100-x) rejected. Higher-ed classified staff bundled inseparably in statewide total,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - report itself states CO publishes no single statewide critical-vacancy rate; in-folder 11.0% was an estimated sector composite, rejected",8.97 years,https://spl.cde.state.co.us/artemis/paserials/pa215internet/pa2152024internet.pdf,official_recovered,high,statewide_classified_only,FY2023-24,INCLUDES_HIGHER_ED,VERIFIED - official report ~9 statewide avg years of service; in-folder precise 8.97 traces to report table. Higher-ed classified staff bundled,"Publishes turnover + tenure (State of Colorado Workforce Report, DPA/DHR); does NOT publish a statewide vacancy rate",46.1,,14.8,66.7,47.5,"KNOWN-CONFLICT re-verified: 3 in-folder SOSI variants differ only on constructed composites/scores, NOT on the two native metrics (turnover 14.5%, tenure 8.97). source_type corrected from in-folder to official_recovered (in-folder files are rejected SOSI narratives; official report web-recovered via CDE mirror; canonical dhr.colorado.gov URL 403'd curl)"
Connecticut,NOT_PUBLISHED,,,not_published,,,,,"NOT_PUBLISHED - in-folder retention ~91% self-labeled 'was assumed', rejected; no official CT DAS/OPM/Comptroller statewide turnover/retention rate; Reason has no CT figure; BLS JOLTS is whole-economy (population_match fail)",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - in-folder ~15% self-labeled 'estimated' composite of SEIU/news anecdotes, rejected; no official statewide vacancy rate",8 years,https://www.ctdata.org/payroll-analysis,official_via_secondary,medium,statewide_all_agencies,2023,INCLUDES_HIGHER_ED,"typical length of service 8 yrs, computed by CT Data Collaborative from official Comptroller OpenPayroll data (2016-2023), corroborated by patch.com. population_match PASS. UConn bundled inseparably. PROVISIONAL - gov data via third-party intermediary, not direct official report (pending ruling 1)",Partial - CT publishes payroll/length-of-service data (Comptroller OpenPayroll) enabling tenure recovery; does NOT publish statewide turnover/retention or vacancy rate,,,7.4,33.3,16.5,"Near Category 3 - only tenure usable, and via a third-party analysis of official open data (ruling-1-adjacent: NOT a news relay - a civic org computing from gov open data). In-folder all three (retention 91 / vacancy 15 / tenure 12) self-labeled assumed/estimated, rejected. Recovered tenure 8 differs from in-folder assumed 12 | RULING1: tenure is official data relayed via secondary source -> official_via_secondary, confidence=medium"
Delaware,13%,includes_retirements,https://dhr.delaware.gov/reports/talent-management/2023-de-workforce-rpt.pdf,official_recovered,high,classified_only (Merit Classified),FY2023,excluded,VERIFIED - official DHR FY2023 Workforce Report: overall turnover 13% (Terminations+Retirements / avg Merit Classified headcount). In-folder 87% retention rejected as 100-x conversion (100-13=87),NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - DHR reports time-to-fill, not a vacancy rate; in-folder single-agency composites CONFLICT across versions (healthcare 19% vs 45%; social services 50% vs 36%), rejected",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - DHR gives only avg years-of-service by separation category, not a workforce average; in-folder 11.33 self-labeled 'Estimated' and from FY2020 (STALE), rejected",High - DHR publishes annual State Workforce Reports with turnover (native); does NOT publish statewide vacancy rate or average tenure,60.5,,,33.3,51.0,KNOWN-CONFLICT re-verified: in-folder analysis versions diverge on single-agency vacancy composites and derived sub-scores; none is a statewide published rate. Stability flips from in-folder 'retention 87%' to native turnover 13%
Florida,17.7%,voluntary_only,https://dms-media.ccplatform.net/content/download/162666/file/FY%202021-22%20Annual%20Workforce%20Report%20-%201-3-24%20-%20Final.pdf,official_recovered,high,classified_only (Career Service; employee-initiated/voluntary),FY2021-22,excluded,"VERIFIED - DMS Annual Workforce Report FY2021-22: 'Career Service turnover rate was 17.7 percent'. Voluntary (employee-initiated). FY22-23 and FY23-24 reports DISCONTINUED publishing a rate (counts only), so this is the latest published rate - EARLY EDGE of 2022-2026 window (FY ending June 2022). In-folder retention 74.1% (100-x) rejected",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - DMS reports give established positions and filled counts but no published vacancy rate; in-folder 10.7% was a composite on assumed sector sizes, rejected",11.34 years,https://dms-media.ccplatform.net/content/download/434221/file/2023%202024%20Annual%20Workforce%20Report%208.14.25%20-%20FINAL.pdf,official_recovered,high,executive_branch_only (SPS all agencies; Career Service subset = 10.0 yrs),FY2023-24,excluded,VERIFIED - DMS FY2023-24 report Workforce Profile: SPS Average Length of Service 11.34 yrs. SPS excludes university personnel systems. In-folder 11.61 'CPI proxy' rejected,High - DMS publishes statutory SPS Annual Workforce Report with tenure and (historically) Career Service turnover rate; does NOT publish a vacancy rate,18.4,,85.2,66.7,47.7,"KNOWN-CONFLICT (#ERROR!) confirmed: florida_sosi_analysis.xlsx has #ERROR!/#NAME? cells - FLAGGED not repaired. Stability (Career Service, FY21-22) and tenure (full SPS, FY23-24) differ in scope AND year. Stability at early edge of window; flagged for spot-check"
Georgia,"13.8% (voluntary turnover, exec-branch all records, FY2024); overall exec-branch 21.1%",voluntary_only,https://doas.ga.gov/sites/default/files/2024-12/FY24%20DOAS%20Workforce%20Report%20Dec.%202024.pdf,official_recovered,high,executive_branch_only,FY2024,excluded,"VERIFIED - DOAS HRA FY2024 Workforce Report. Voluntary breakout published (used per §2): voluntary 13.8%, overall 21.1%. Chose exec-branch cut over system-wide (13.2%/18%) because system-wide bundles Technical Colleges (higher ed). Native form; in-folder retention 82% (100-18 conversion) rejected",NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - DOAS report has no vacancy rate; in-folder 7.9% was a constructed weighted composite (education 120K@3% + corrections 10K@50% + healthcare 8K@28.5%) self-labeled ESTIMATED, rejected",7.83 years,https://doas.ga.gov/sites/default/files/2024-12/FY24%20DOAS%20Workforce%20Report%20Dec.%202024.pdf,official_recovered,high,executive_branch_only,FY2024,excluded,VERIFIED - DOAS FY2024 'Executive Branch Full-Time Employee Records and Tenure': Average 7.83 (Median 5.00). Chose exec-branch (excl technical colleges) over system-wide 7.58,"High - DOAS HRA publishes detailed annual State Government Workforce Report (turnover w/ voluntary breakout, retention, avg+median tenure, retirement-eligibility, demographics, FY20-24); does NOT publish a statewide vacancy rate",55.3,,3.7,66.7,49.7,"Strong higher-ed discipline: preferred non-higher-ed exec-branch cut over system-wide (which bundles Technical Colleges) for both stability and tenure. In-folder files are prior SOSI analyses, all D2 numbers rejected"
